"feature","p"
"PAX8-AS1",0.794365706965458
"EIF1AY",0.132506117127028
"CES1",0.445285940501656
"ZFP57",0.297281960978571
"CASC10",0.146916182671264
"CD177",0.635986443758476
"DEFA1",0.270123079715354
"MEG3",0.299411788216748
"AC016735.1",0.553933326925269
"AL589743.1",0.0347786340277077
"AC091814.2",0.362355701602369
"XIST",0.387177398917311
"RP11-388P9.2",0.788714928913285
"HOXB-AS3",0.186517513187305
"AC104809.4",0.598975126046478
"TTTY15",0.277621344647691
"DEFA3",0.920408322469402
"DEFA1B",0.99561153734305
"HOXA11-AS",0.838023458201413
"IL12A-AS1",0.135521492131202
"HBB",0.440019640293358
"KIAA1456",0.779319328273058
"RP11-704M14.1",0.697741336456065
"IGKV2-23",0.15402576325764
"RP11-129J12.2",0.0246521271332019
"RP11-497G19.2",0.435329949018488
"RP11-497G19.1",0.612632947906736
"RP11-424G14.1",0.817547274184823
"AC004791.2",0.952729626316124
"RP11-114I8.4",1.44932484606473e-05
"Tsne1",0.065216770552452
"Tsne2",0.605573619873457
"DNMT3A.y",0.247497524975689
"TET2.y",0.896153302914
"NRAS.y",0.00108393736342039
"TP53",0.483099856332939
"RUNX1",0.385305895141768
"IDH2.y",0.269739510402821
"FLT3.y",0.399054489593293
"SRSF2.y",0.285545297584858
"WT1.y",0.881853185205693
"IDH1.y",0.487392337377372
"KRAS.y",0.204113093895991
"SF3B1.y",0.114238590526333
"U2AF1.y",0.842998777249119
"GATA2.y",0.100749121711046
"PTPN11.y",0.956759212342414
"NPM1",0.308662182689853
"STAG2.y",0.199974937162896
"CEBPA.y",0.274060243177877
"ASXL1",0.106154148377755
"BCOR.y",0.323239794086766
"PHF6.y",0.37116219544685
"JAK2.y",0.0239958528147876
"NF1.y",0.000477354215944452
"EZH2.y",0.89139907105074
"KIT.y",0.634066228793318
"CSF3R.y",0.857663556745726
"SMC1A.y",0.660867104177101
"RAD21.y",0.563915947311004
"CBL.y",0.209297350637391
"OTOP2",0.463633657852638
"SMC3",0.712180671595063
"IKZF1.y",0.999999999999618
"PDS5B",0.00419372080382108
"SETBP1.y",0.630707315908685
"ZRSR2.y",0.359894694896288
"CCND3.y",0.802267751803313
"ACAN",0.947997100994268
"CSMD2",0.0984667300216531
"PUF60",0.0984642158508971
"MYH13",0.535318855101778
"TRRAP.y",1
"BRCC3",0.93023446890121
"TCHH",0.919737080344395
"DOCK7",0.463633657852638
"ADCY8",0.139928447301883
"SORCS2",0.944288656066215
"NFATC4",0.242142195162055
"TEX15",0.201781916894921
"MAMLD1",0.535318855101778
"BBS10",0.463633657852638
"RPAP1",NA
"SH2D7",0.463633657852638
"DCDC1",0.463633657852638
"ATP8B3",NA
"LPIN2",0.463633657852638
"MYB.y",1.44473098254482e-11
"GJA8",0.201781916894921
"GRM4",0.535318855101778
"KCNH7",0.201781916894921
"GRM3",0.201781916894921
"UBR5.y",0.555326691742877
"ARHGEF10.y",0.0150135209168538
"BCORL1.y",0.718767604517769
"ACOT2",0.251778102104151
"ETV6.y",0.561077866640999
"TENM2",0.0984679871051321
"EP300.y",0.999999999999618
"JAK3.y",0.703551127828331
"NFIA",0.667126313916472
"TOPAZ1",0.532665517656888
"IGFN1",0.949852040847352
"BRAF.y",0.0431221684111715
"PRPH",0.176054649548063
"MPL.y",0.711865457898924
"NOS1",0.532665517656888
"RBBP6",0.537983412462292
"RIT1",0.662787015697937
"DSCAM",0.201783594295158
"GNAS.y",0.999999999999808
"TMPRSS6",0.532665517656888
"CHD7",0.671537796624128
"CREBBP.y",0.539830638146296
